# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
canonical,16,164,16,0,0,1,ok,48282,0,replay=single
cool,16,116,16,0,0,1,ok,51559,292,replay=match
escal,16,118,16,0,0,1,ok,48285,6,replay=match
stallcool,16,122,16,0,0,1,ok,48285,6,replay=match
queue2spread,16,164,16,0,0,1,ok,48282,0,replay=match
canonical,32,280,32,0,0,1,ok,85908,0,replay=single
cool,32,147,32,0,0,1,ok,95439,475,replay=match
escal,32,143,32,0,0,1,ok,86082,42,replay=match
stallcool,32,151,32,0,0,1,ok,86084,34,replay=match
queue2spread,32,180,32,0,0,1,ok,86070,23,replay=match
canonical,48,323,48,0,0,1,ok,212166,0,replay=single
cool,48,220,48,0,0,1,ok,329627,733,replay=match
escal,48,206,48,0,0,1,ok,212506,40,replay=match
stallcool,48,206,48,0,0,1,ok,209586,31,replay=match
queue2spread,48,223,48,0,0,1,ok,212561,37,replay=match
canonical,64,330,64,0,0,1,ok,222601,0,replay=single
cool,64,215,64,0,0,1,ok,335374,811,replay=match
escal,64,207,64,0,0,1,ok,227352,83,replay=match
stallcool,64,207,64,0,0,1,ok,223098,63,replay=match
queue2spread,64,223,64,0,0,1,ok,235147,46,replay=match
canonical,80,349,80,0,0,1,ok,200173,0,replay=single
cool,80,210,80,0,0,1,ok,287508,885,replay=match
escal,80,208,80,0,0,1,ok,205441,85,replay=match
stallcool,80,210,80,0,0,1,ok,200385,66,replay=match
queue2spread,80,210,80,0,0,1,ok,212171,46,replay=match
canonical,96,330,96,0,0,1,ok,193246,0,replay=single
cool,96,215,96,0,0,1,ok,277363,955,replay=match
escal,96,207,96,0,0,1,ok,196954,53,replay=match
stallcool,96,207,96,0,0,1,ok,196787,51,replay=match
queue2spread,96,207,96,0,0,1,ok,199193,43,replay=match
canonical,112,380,112,0,0,1,ok,183283,0,replay=single
cool,112,217,112,0,0,1,ok,257503,968,replay=match
escal,112,206,112,0,0,1,ok,192124,118,replay=match
stallcool,112,208,112,0,0,1,ok,185035,108,replay=match
queue2spread,112,227,112,0,0,1,ok,191888,59,replay=match
canonical,128,346,128,0,0,1,ok,166669,0,replay=single
cool,128,217,128,0,0,1,ok,235656,987,replay=match
escal,128,216,128,0,0,1,ok,174001,159,replay=match
stallcool,128,216,128,0,0,1,ok,170261,117,replay=match
queue2spread,128,232,128,0,0,1,ok,178468,81,replay=match
canonical,144,397,144,0,0,1,ok,166710,0,replay=single
cool,144,222,144,0,0,1,ok,249280,1030,replay=match
escal,144,209,144,0,0,1,ok,191238,134,replay=match
stallcool,144,222,144,0,0,1,ok,173556,86,replay=match
queue2spread,144,331,144,0,0,1,ok,182148,51,replay=match
canonical,160,317,160,0,0,1,ok,175231,0,replay=single
cool,160,213,160,0,0,1,ok,244719,967,replay=match
escal,160,212,160,0,0,1,ok,192749,187,replay=match
stallcool,160,211,160,0,0,1,ok,182147,107,replay=match
queue2spread,160,225,160,0,0,1,ok,187177,54,replay=match
canonical,176,591,176,0,0,1,ok,228761,0,replay=single
cool,176,220,176,0,0,1,ok,328850,1057,replay=match
escal,176,216,176,0,0,1,ok,243734,208,replay=match
stallcool,176,220,176,0,0,1,ok,241885,176,replay=match
queue2spread,176,235,176,0,0,1,ok,240416,100,replay=match
canonical,192,692,192,0,0,1,ok,265991,0,replay=single
cool,192,245,192,0,0,1,ok,430392,1202,replay=match
escal,192,237,192,0,0,1,ok,293191,232,replay=match
stallcool,192,224,192,0,0,1,ok,273625,188,replay=match
queue2spread,192,356,192,0,0,1,ok,276382,64,replay=match
canonical,208,599,208,0,0,1,ok,284054,0,replay=single
cool,208,258,208,0,0,1,ok,497730,1306,replay=match
escal,208,232,208,0,0,1,ok,332889,355,replay=match
stallcool,208,283,208,0,0,1,ok,294906,189,replay=match
queue2spread,208,402,208,0,0,1,ok,305709,61,replay=match
canonical,224,525,224,0,0,1,ok,288722,0,replay=single
cool,224,257,224,0,0,1,ok,498637,1368,replay=match
escal,224,254,224,0,0,1,ok,348885,412,replay=match
stallcool,224,268,224,0,0,1,ok,297573,223,replay=match
queue2spread,224,336,224,0,0,1,ok,314637,96,replay=match
canonical,240,632,240,0,0,1,ok,279275,0,replay=single
cool,240,271,240,0,0,1,ok,499756,1345,replay=match
escal,240,281,240,0,0,1,ok,326202,428,replay=match
stallcool,240,274,240,0,0,1,ok,294264,235,replay=match
queue2spread,240,328,240,0,0,1,ok,321870,89,replay=match
canonical,256,595,256,0,0,1,ok,280268,0,replay=single
cool,256,303,256,0,0,1,ok,483463,1357,replay=match
escal,256,238,256,0,0,1,ok,333692,385,replay=match
stallcool,256,324,256,0,0,1,ok,321923,322,replay=match
queue2spread,256,322,256,0,0,1,ok,312842,118,replay=match
canonical,272,545,272,0,0,1,ok,274043,0,replay=single
cool,272,253,272,0,0,1,ok,477621,1336,replay=match
escal,272,245,272,0,0,1,ok,364961,495,replay=match
stallcool,272,283,272,0,0,1,ok,305587,331,replay=match
queue2spread,272,356,272,0,0,1,ok,311927,148,replay=match
canonical,288,537,288,0,0,1,ok,285801,0,replay=single
cool,288,317,288,0,0,1,ok,530927,1371,replay=match
escal,288,277,288,0,0,1,ok,374460,510,replay=match
stallcool,288,282,288,0,0,1,ok,355661,427,replay=match
queue2spread,288,290,288,0,0,1,ok,327029,145,replay=match
canonical,304,947,304,0,0,1,ok,346890,0,replay=single
cool,304,264,304,0,0,1,ok,580136,1361,replay=match
escal,304,281,304,0,0,1,ok,438900,580,replay=match
stallcool,304,314,304,0,0,1,ok,426246,448,replay=match
queue2spread,304,400,304,0,0,1,ok,409900,133,replay=match
canonical,320,1044,320,0,0,1,ok,399003,0,replay=single
cool,320,307,320,0,0,1,ok,684900,1444,replay=match
escal,320,285,320,0,0,1,ok,510828,705,replay=match
stallcool,320,291,320,0,0,1,ok,500466,501,replay=match
queue2spread,320,408,320,0,0,1,ok,436471,115,replay=match
canonical,336,976,336,0,0,1,ok,396412,0,replay=single
cool,336,323,336,0,0,1,ok,734291,1534,replay=match
escal,336,326,336,0,0,1,ok,523933,764,replay=match
stallcool,336,296,336,0,0,1,ok,535801,616,replay=match
queue2spread,336,382,336,0,0,1,ok,448905,143,replay=match
canonical,352,878,352,0,0,1,ok,404537,0,replay=single
cool,352,282,352,0,0,1,ok,751232,1504,replay=match
escal,352,290,352,0,0,1,ok,528824,794,replay=match
stallcool,352,308,352,0,0,1,ok,523248,636,replay=match
queue2spread,352,376,352,0,0,1,ok,466742,130,replay=match
canonical,368,954,368,0,0,1,ok,418737,0,replay=single
cool,368,326,368,0,0,1,ok,778173,1594,replay=match
escal,368,362,368,0,0,1,ok,550622,906,replay=match
stallcool,368,316,368,0,0,1,ok,570486,799,replay=match
queue2spread,368,343,368,0,0,1,ok,558257,200,replay=match
canonical,384,956,384,0,0,1,ok,437270,0,replay=single
cool,384,350,384,0,0,1,ok,805055,1704,replay=match
escal,384,478,384,0,0,1,ok,602121,1040,replay=match
stallcool,384,371,384,0,0,1,ok,646737,1036,replay=match
queue2spread,384,425,384,0,0,1,ok,557090,117,replay=match
canonical,400,1029,400,0,0,1,ok,436433,0,replay=single
cool,400,378,400,0,0,1,ok,932512,1951,replay=match
escal,400,348,400,0,0,1,ok,546760,1046,replay=match
stallcool,400,479,400,0,0,1,ok,602655,1054,replay=match
queue2spread,400,349,400,0,0,1,ok,522361,127,replay=match
canonical,416,1052,416,0,0,1,ok,458680,0,replay=single
cool,416,516,416,0,0,1,ok,1336975,2294,replay=match
escal,416,368,416,0,0,1,ok,638989,1019,replay=match
stallcool,416,443,416,0,0,1,ok,597779,885,replay=match
