# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
canonical,16,142,16,0,0,1,ok,11299,0,replay=single
cool,16,158,16,0,0,1,ok,108483,528,replay=match
escal,16,142,16,0,0,1,ok,12906,8,replay=match
stallcool,16,142,16,0,0,1,ok,11299,0,replay=match
queue2spread,16,142,16,0,0,1,ok,11299,0,replay=match
canonical,32,143,32,0,0,1,ok,15937,0,replay=single
cool,32,158,32,0,0,1,ok,156959,982,replay=match
escal,32,143,32,0,0,1,ok,17544,10,replay=match
stallcool,32,143,32,0,0,1,ok,15937,2,replay=match
queue2spread,32,143,32,0,0,1,ok,15937,0,replay=match
canonical,48,196,48,0,0,1,ok,28718,0,replay=single
cool,48,156,48,0,0,1,ok,186775,1060,replay=match
escal,48,144,48,0,0,1,ok,30978,20,replay=match
stallcool,48,148,48,0,0,1,ok,28603,8,replay=match
queue2spread,48,196,48,0,0,1,ok,28587,0,replay=match
canonical,64,196,64,0,0,1,ok,33356,0,replay=single
cool,64,152,64,0,0,1,ok,166043,1055,replay=match
escal,64,144,64,0,0,1,ok,35565,20,replay=match
stallcool,64,148,64,0,0,1,ok,33190,8,replay=match
queue2spread,64,196,64,0,0,1,ok,33175,0,replay=match
canonical,80,196,80,0,0,1,ok,45385,0,replay=single
cool,80,155,80,0,0,1,ok,177577,1077,replay=match
escal,80,148,80,0,0,1,ok,49748,41,replay=match
stallcool,80,152,80,0,0,1,ok,45114,15,replay=match
queue2spread,80,196,80,0,0,1,ok,45251,0,replay=match
canonical,96,196,96,0,0,1,ok,50023,0,replay=single
cool,96,155,96,0,0,1,ok,172607,1070,replay=match
escal,96,148,96,0,0,1,ok,54318,41,replay=match
stallcool,96,152,96,0,0,1,ok,49700,15,replay=match
queue2spread,96,196,96,0,0,1,ok,49839,0,replay=match
canonical,112,210,112,0,0,1,ok,62804,0,replay=single
cool,112,159,112,0,0,1,ok,184889,1106,replay=match
escal,112,152,112,0,0,1,ok,67694,51,replay=match
stallcool,112,156,112,0,0,1,ok,62342,21,replay=match
queue2spread,112,210,112,0,0,1,ok,62477,0,replay=match
canonical,128,210,128,0,0,1,ok,66640,0,replay=single
cool,128,157,128,0,0,1,ok,181387,1106,replay=match
escal,128,152,128,0,0,1,ok,71472,51,replay=match
stallcool,128,156,128,0,0,1,ok,66133,21,replay=match
queue2spread,128,210,128,0,0,1,ok,66270,0,replay=match
canonical,144,210,144,0,0,1,ok,78290,0,replay=single
cool,144,161,144,0,0,1,ok,200893,1157,replay=match
escal,144,158,144,0,0,1,ok,88871,68,replay=match
stallcool,144,158,144,0,0,1,ok,77673,21,replay=match
queue2spread,144,210,144,0,0,1,ok,77812,0,replay=match
canonical,160,210,160,0,0,1,ok,83040,0,replay=single
cool,160,167,160,0,0,1,ok,204209,1160,replay=match
escal,160,159,160,0,0,1,ok,95892,88,replay=match
stallcool,160,159,160,0,0,1,ok,82461,26,replay=match
queue2spread,160,210,160,0,0,1,ok,82551,6,replay=match
canonical,176,239,176,0,0,1,ok,96237,0,replay=single
cool,176,166,176,0,0,1,ok,221093,1158,replay=match
escal,176,159,176,0,0,1,ok,112143,104,replay=match
stallcool,176,159,176,0,0,1,ok,95448,33,replay=match
queue2spread,176,210,176,0,0,1,ok,95363,10,replay=match
canonical,192,239,192,0,0,1,ok,100975,0,replay=single
cool,192,164,192,0,0,1,ok,228680,1174,replay=match
escal,192,159,192,0,0,1,ok,120153,127,replay=match
stallcool,192,159,192,0,0,1,ok,100148,36,replay=match
queue2spread,192,210,192,0,0,1,ok,99974,14,replay=match
canonical,208,239,208,0,0,1,ok,113395,0,replay=single
cool,208,168,208,0,0,1,ok,248971,1209,replay=match
escal,208,159,208,0,0,1,ok,132334,123,replay=match
stallcool,208,159,208,0,0,1,ok,112220,38,replay=match
queue2spread,208,210,208,0,0,1,ok,111911,22,replay=match
canonical,224,239,224,0,0,1,ok,118145,0,replay=single
cool,224,171,224,0,0,1,ok,250435,1206,replay=match
escal,224,159,224,0,0,1,ok,138373,137,replay=match
stallcool,224,159,224,0,0,1,ok,116913,41,replay=match
queue2spread,224,184,224,0,0,1,ok,116559,28,replay=match
canonical,240,252,240,0,0,1,ok,131342,0,replay=single
cool,240,170,240,0,0,1,ok,262984,1233,replay=match
escal,240,162,240,0,0,1,ok,154548,153,replay=match
stallcool,240,162,240,0,0,1,ok,129731,48,replay=match
queue2spread,240,184,240,0,0,1,ok,129241,32,replay=match
canonical,256,252,256,0,0,1,ok,135258,0,replay=single
cool,256,177,256,0,0,1,ok,259298,1223,replay=match
escal,256,163,256,0,0,1,ok,159711,164,replay=match
stallcool,256,163,256,0,0,1,ok,133515,48,replay=match
queue2spread,256,184,256,0,0,1,ok,133051,32,replay=match
canonical,272,252,272,0,0,1,ok,147250,0,replay=single
cool,272,176,272,0,0,1,ok,282392,1236,replay=match
escal,272,174,272,0,0,1,ok,188808,207,replay=match
stallcool,272,174,272,0,0,1,ok,145110,48,replay=match
queue2spread,272,184,272,0,0,1,ok,144544,32,replay=match
canonical,288,252,288,0,0,1,ok,152112,0,replay=single
cool,288,181,288,0,0,1,ok,303510,1224,replay=match
escal,288,175,288,0,0,1,ok,193694,212,replay=match
stallcool,288,175,288,0,0,1,ok,149876,51,replay=match
queue2spread,288,211,288,0,0,1,ok,149867,6,replay=match
canonical,304,277,304,0,0,1,ok,165725,0,replay=single
cool,304,175,304,0,0,1,ok,325873,1287,replay=match
escal,304,175,304,0,0,1,ok,215973,239,replay=match
stallcool,304,175,304,0,0,1,ok,162881,55,replay=match
queue2spread,304,211,304,0,0,1,ok,163010,10,replay=match
canonical,320,277,320,0,0,1,ok,170582,0,replay=single
cool,320,178,320,0,0,1,ok,331546,1290,replay=match
escal,320,175,320,0,0,1,ok,220818,243,replay=match
stallcool,320,175,320,0,0,1,ok,167537,56,replay=match
queue2spread,320,175,320,0,0,1,ok,167478,32,replay=match
canonical,336,277,336,0,0,1,ok,183420,0,replay=single
cool,336,189,336,0,0,1,ok,350256,1322,replay=match
escal,336,177,336,0,0,1,ok,244107,276,replay=match
