# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
canonical,16,302,16,0,0,1,ok,166952,0,replay=single
cool,16,325,16,0,0,1,ok,4499373,1181,replay=match
escal,16,302,16,0,0,1,ok,166952,0,replay=match
stallcool,16,302,16,0,0,1,ok,166952,0,replay=match
queue2spread,16,302,16,0,0,1,ok,166952,0,replay=match
canonical,32,304,32,0,0,1,ok,333648,0,replay=single
cool,32,346,32,0,0,1,ok,8880065,2306,replay=match
escal,32,308,32,0,0,1,ok,442584,23,replay=match
stallcool,32,304,32,0,0,1,ok,333648,0,replay=match
queue2spread,32,304,32,0,0,1,ok,333648,0,replay=match
canonical,48,306,48,0,0,1,ok,499716,0,replay=single
cool,48,353,48,0,0,1,ok,9216088,2460,replay=match
escal,48,314,48,0,0,1,ok,793325,62,replay=match
stallcool,48,306,48,0,0,1,ok,499657,0,replay=match
queue2spread,48,306,48,0,0,1,ok,499657,0,replay=match
canonical,64,308,64,0,0,1,ok,635836,0,replay=single
cool,64,374,64,0,0,1,ok,8349710,2581,replay=match
escal,64,311,64,0,0,1,ok,1095610,109,replay=match
stallcool,64,312,64,0,0,1,ok,777377,31,replay=match
queue2spread,64,308,64,0,0,1,ok,635646,0,replay=match
canonical,80,310,80,0,0,1,ok,717611,0,replay=single
cool,80,360,80,0,0,1,ok,7622246,2524,replay=match
escal,80,314,80,0,0,1,ok,1223982,118,replay=match
stallcool,80,314,80,0,0,1,ok,868233,32,replay=match
queue2spread,80,310,80,0,0,1,ok,717372,0,replay=match
canonical,96,312,96,0,0,1,ok,743098,0,replay=single
cool,96,361,96,0,0,1,ok,6496906,2513,replay=match
escal,96,319,96,0,0,1,ok,1426776,187,replay=match
stallcool,96,314,96,0,0,1,ok,1101164,87,replay=match
queue2spread,96,312,96,0,0,1,ok,742605,0,replay=match
canonical,112,313,112,0,0,1,ok,744861,0,replay=single
cool,112,363,112,0,0,1,ok,6218022,2553,replay=match
escal,112,317,112,0,0,1,ok,1451897,210,replay=match
stallcool,112,314,112,0,0,1,ok,1104008,87,replay=match
queue2spread,112,313,112,0,0,1,ok,744365,0,replay=match
canonical,128,313,128,0,0,1,ok,746621,0,replay=single
cool,128,352,128,0,0,1,ok,5270889,2497,replay=match
escal,128,317,128,0,0,1,ok,1453563,210,replay=match
stallcool,128,314,128,0,0,1,ok,1105675,87,replay=match
queue2spread,128,313,128,0,0,1,ok,746125,0,replay=match
canonical,144,327,144,0,0,1,ok,914037,0,replay=single
cool,144,411,144,0,0,1,ok,6255304,2730,replay=match
escal,144,334,144,0,0,1,ok,1937661,267,replay=match
stallcool,144,327,144,0,0,1,ok,1358580,104,replay=match
queue2spread,144,327,144,0,0,1,ok,913460,0,replay=match
canonical,160,343,160,0,0,1,ok,1081197,0,replay=single
cool,160,441,160,0,0,1,ok,6673773,2861,replay=match
escal,160,352,160,0,0,1,ok,2837315,419,replay=match
stallcool,160,343,160,0,0,1,ok,1596444,120,replay=match
queue2spread,160,343,160,0,0,1,ok,1080529,0,replay=match
canonical,176,359,176,0,0,1,ok,1247849,0,replay=single
cool,176,486,176,0,0,1,ok,6923558,2891,replay=match
escal,176,366,176,0,0,1,ok,3982634,703,replay=match
stallcool,176,457,176,0,0,1,ok,2697377,462,replay=match
queue2spread,176,359,176,0,0,1,ok,1246952,0,replay=match
canonical,192,375,192,0,0,1,ok,1384929,0,replay=single
cool,192,506,192,0,0,1,ok,6919542,3019,replay=match
escal,192,381,192,0,0,1,ok,4789316,909,replay=match
stallcool,192,513,192,0,0,1,ok,4064914,720,replay=match
