# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
canonical,16,110,16,0,0,1,ok,1760,0,replay=single
cool,16,110,16,0,0,1,ok,25088,432,replay=match
escal,16,110,16,0,0,1,ok,1760,0,replay=match
stallcool,16,110,16,0,0,1,ok,1760,0,replay=match
queue2spread,16,110,16,0,0,1,ok,1760,0,replay=match
canonical,32,112,32,0,0,1,ok,3520,0,replay=single
cool,32,112,32,0,0,1,ok,50176,864,replay=match
escal,32,112,32,0,0,1,ok,3520,0,replay=match
stallcool,32,112,32,0,0,1,ok,3520,0,replay=match
queue2spread,32,112,32,0,0,1,ok,3520,0,replay=match
canonical,48,373,48,0,0,1,ok,18360,0,replay=single
cool,48,156,48,0,0,1,ok,108045,967,replay=match
escal,48,168,48,0,0,1,ok,18784,58,replay=match
stallcool,48,172,48,0,0,1,ok,18784,58,replay=match
queue2spread,48,227,48,0,0,1,ok,18768,52,replay=match
canonical,64,650,64,0,0,1,ok,64984,0,replay=single
cool,64,205,64,0,0,1,ok,357046,1255,replay=match
escal,64,194,64,0,0,1,ok,65922,110,replay=match
stallcool,64,208,64,0,0,1,ok,66294,132,replay=match
queue2spread,64,260,64,0,0,1,ok,66264,120,replay=match
canonical,80,891,80,0,0,1,ok,143816,0,replay=single
cool,80,249,80,0,0,1,ok,664048,1532,replay=match
escal,80,214,80,0,0,1,ok,148045,121,replay=match
stallcool,80,216,80,0,0,1,ok,148143,123,replay=match
queue2spread,80,261,80,0,0,1,ok,145872,144,replay=match
canonical,96,1160,96,0,0,1,ok,242420,0,replay=single
cool,96,286,96,0,0,1,ok,1239798,1818,replay=match
escal,96,248,96,0,0,1,ok,247420,138,replay=match
stallcool,96,248,96,0,0,1,ok,247367,139,replay=match
queue2spread,96,264,96,0,0,1,ok,244254,0,replay=match
canonical,112,1433,112,0,0,1,ok,341908,0,replay=single
cool,112,325,112,0,0,1,ok,1757039,2177,replay=match
escal,112,282,112,0,0,1,ok,359884,170,replay=match
stallcool,112,282,112,0,0,1,ok,355161,168,replay=match
queue2spread,112,353,112,0,0,1,ok,358116,23,replay=match
canonical,128,1678,128,0,0,1,ok,441908,0,replay=single
cool,128,358,128,0,0,1,ok,2512666,2466,replay=match
escal,128,316,128,0,0,1,ok,496031,205,replay=match
stallcool,128,316,128,0,0,1,ok,485881,200,replay=match
queue2spread,128,391,128,0,0,1,ok,495716,55,replay=match
canonical,144,1678,144,0,0,1,ok,443668,0,replay=single
cool,144,352,144,0,0,1,ok,2113340,2435,replay=match
escal,144,316,144,0,0,1,ok,497693,205,replay=match
stallcool,144,316,144,0,0,1,ok,487543,200,replay=match
queue2spread,144,391,144,0,0,1,ok,497476,55,replay=match
canonical,160,1648,160,0,0,1,ok,445588,0,replay=single
cool,160,354,160,0,0,1,ok,1975758,2405,replay=match
escal,160,316,160,0,0,1,ok,693524,322,replay=match
stallcool,160,316,160,0,0,1,ok,489499,228,replay=match
queue2spread,160,391,160,0,0,1,ok,499269,55,replay=match
canonical,176,1774,176,0,0,1,ok,460907,0,replay=single
cool,176,354,176,0,0,1,ok,1981219,2481,replay=match
escal,176,324,176,0,0,1,ok,1387294,725,replay=match
stallcool,176,327,176,0,0,1,ok,1134840,548,replay=match
queue2spread,176,370,176,0,0,1,ok,652240,157,replay=match
canonical,192,2034,192,0,0,1,ok,508491,0,replay=single
cool,192,360,192,0,0,1,ok,2004240,2478,replay=match
escal,192,362,192,0,0,1,ok,1533598,899,replay=match
stallcool,192,344,192,0,0,1,ok,1548413,819,replay=match
queue2spread,192,381,192,0,0,1,ok,714202,169,replay=match
canonical,208,2375,208,0,0,1,ok,588355,0,replay=single
cool,208,381,208,0,0,1,ok,2172637,2545,replay=match
escal,208,362,208,0,0,1,ok,1841009,1024,replay=match
stallcool,208,398,208,0,0,1,ok,2113143,1060,replay=match
queue2spread,208,400,208,0,0,1,ok,825132,158,replay=match
canonical,224,2688,224,0,0,1,ok,687543,0,replay=single
cool,224,359,224,0,0,1,ok,2412853,2497,replay=match
escal,224,374,224,0,0,1,ok,2195935,1184,replay=match
stallcool,224,371,224,0,0,1,ok,2397296,1005,replay=match
queue2spread,224,400,224,0,0,1,ok,977828,171,replay=match
canonical,240,3042,240,0,0,1,ok,787495,0,replay=single
cool,240,364,240,0,0,1,ok,2571074,2580,replay=match
escal,240,389,240,0,0,1,ok,2753513,1311,replay=match
stallcool,240,384,240,0,0,1,ok,2783934,1225,replay=match
queue2spread,240,400,240,0,0,1,ok,1144255,187,replay=match
canonical,256,3362,256,0,0,1,ok,887959,0,replay=single
cool,256,493,256,0,0,1,ok,3106653,2815,replay=match
escal,256,411,256,0,0,1,ok,3497318,1473,replay=match
stallcool,256,436,256,0,0,1,ok,3163711,1330,replay=match
queue2spread,256,401,256,0,0,1,ok,1312580,201,replay=match
canonical,272,3362,272,0,0,1,ok,889719,0,replay=single
cool,272,388,272,0,0,1,ok,2927337,2812,replay=match
escal,272,411,272,0,0,1,ok,3498879,1473,replay=match
