# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
canonical,16,158,16,0,0,1,ok,21940,0,replay=single
cool,16,175,16,0,0,1,ok,213730,597,replay=match
escal,16,158,16,0,0,1,ok,24987,8,replay=match
stallcool,16,158,16,0,0,1,ok,21940,0,replay=match
queue2spread,16,158,16,0,0,1,ok,21940,0,replay=match
canonical,32,160,32,0,0,1,ok,26582,0,replay=single
cool,32,187,32,0,0,1,ok,279507,1081,replay=match
escal,32,164,32,0,0,1,ok,35699,33,replay=match
stallcool,32,160,32,0,0,1,ok,26582,1,replay=match
queue2spread,32,160,32,0,0,1,ok,26582,0,replay=match
canonical,48,373,48,0,0,1,ok,41422,0,replay=single
cool,48,175,48,0,0,1,ok,304908,1158,replay=match
escal,48,174,48,0,0,1,ok,51059,98,replay=match
stallcool,48,172,48,0,0,1,ok,41844,59,replay=match
queue2spread,48,227,48,0,0,1,ok,41830,52,replay=match
canonical,64,650,64,0,0,1,ok,88046,0,replay=single
cool,64,194,64,0,0,1,ok,458125,1315,replay=match
escal,64,180,64,0,0,1,ok,98145,127,replay=match
stallcool,64,208,64,0,0,1,ok,89316,132,replay=match
queue2spread,64,180,64,0,0,1,ok,106929,0,replay=match
canonical,80,649,80,0,0,1,ok,133353,0,replay=single
cool,80,207,80,0,0,1,ok,534045,1388,replay=match
escal,80,181,80,0,0,1,ok,152538,135,replay=match
stallcool,80,190,80,0,0,1,ok,137106,108,replay=match
queue2spread,80,181,80,0,0,1,ok,163435,0,replay=match
canonical,96,649,96,0,0,1,ok,148040,0,replay=single
cool,96,213,96,0,0,1,ok,536264,1394,replay=match
escal,96,182,96,0,0,1,ok,166871,135,replay=match
stallcool,96,190,96,0,0,1,ok,151515,108,replay=match
queue2spread,96,182,96,0,0,1,ok,180749,0,replay=match
canonical,112,649,112,0,0,1,ok,152678,0,replay=single
cool,112,207,112,0,0,1,ok,467479,1375,replay=match
escal,112,183,112,0,0,1,ok,183936,167,replay=match
stallcool,112,190,112,0,0,1,ok,156017,108,replay=match
queue2spread,112,183,112,0,0,1,ok,186550,0,replay=match
canonical,128,649,128,0,0,1,ok,174782,0,replay=single
cool,128,206,128,0,0,1,ok,500073,1416,replay=match
escal,128,183,128,0,0,1,ok,205966,195,replay=match
stallcool,128,190,128,0,0,1,ok,178267,147,replay=match
queue2spread,128,183,128,0,0,1,ok,213082,0,replay=match
canonical,144,649,144,0,0,1,ok,197317,0,replay=single
cool,144,203,144,0,0,1,ok,511866,1393,replay=match
escal,144,183,144,0,0,1,ok,258711,260,replay=match
stallcool,144,190,144,0,0,1,ok,200618,147,replay=match
queue2spread,144,183,144,0,0,1,ok,239444,0,replay=match
canonical,160,633,160,0,0,1,ok,202105,0,replay=single
cool,160,217,160,0,0,1,ok,489322,1418,replay=match
escal,160,188,160,0,0,1,ok,293854,383,replay=match
stallcool,160,218,160,0,0,1,ok,212748,225,replay=match
queue2spread,160,183,160,0,0,1,ok,245426,0,replay=match
canonical,176,844,176,0,0,1,ok,217424,0,replay=single
cool,176,202,176,0,0,1,ok,499882,1437,replay=match
escal,176,208,176,0,0,1,ok,326152,509,replay=match
stallcool,176,202,176,0,0,1,ok,243027,271,replay=match
queue2spread,176,189,176,0,0,1,ok,262980,0,replay=match
canonical,192,1100,192,0,0,1,ok,265008,0,replay=single
cool,192,212,192,0,0,1,ok,603212,1492,replay=match
escal,192,211,192,0,0,1,ok,417301,617,replay=match
stallcool,192,216,192,0,0,1,ok,304105,321,replay=match
queue2spread,192,210,192,0,0,1,ok,320633,0,replay=match
canonical,208,1097,208,0,0,1,ok,311347,0,replay=single
cool,208,222,208,0,0,1,ok,683331,1548,replay=match
escal,208,248,208,0,0,1,ok,497318,590,replay=match
stallcool,208,234,208,0,0,1,ok,350344,330,replay=match
queue2spread,208,211,208,0,0,1,ok,377429,0,replay=match
canonical,224,1097,224,0,0,1,ok,326513,0,replay=single
cool,224,228,224,0,0,1,ok,693992,1568,replay=match
escal,224,212,224,0,0,1,ok,529667,683,replay=match
stallcool,224,234,224,0,0,1,ok,384123,366,replay=match
queue2spread,224,212,224,0,0,1,ok,394760,0,replay=match
canonical,240,1096,240,0,0,1,ok,331263,0,replay=single
cool,240,216,240,0,0,1,ok,654620,1527,replay=match
escal,240,215,240,0,0,1,ok,518301,714,replay=match
stallcool,240,234,240,0,0,1,ok,390195,389,replay=match
queue2spread,240,213,240,0,0,1,ok,400519,0,replay=match
canonical,256,1099,256,0,0,1,ok,353962,0,replay=single
cool,256,212,256,0,0,1,ok,679643,1536,replay=match
escal,256,229,256,0,0,1,ok,554209,814,replay=match
stallcool,256,334,256,0,0,1,ok,422608,446,replay=match
queue2spread,256,213,256,0,0,1,ok,425200,21,replay=match
canonical,272,1099,272,0,0,1,ok,377035,0,replay=single
cool,272,215,272,0,0,1,ok,700867,1539,replay=match
escal,272,216,272,0,0,1,ok,577329,843,replay=match
stallcool,272,335,272,0,0,1,ok,467634,502,replay=match
queue2spread,272,213,272,0,0,1,ok,452430,21,replay=match
canonical,288,1098,288,0,0,1,ok,381965,0,replay=single
cool,288,218,288,0,0,1,ok,704379,1506,replay=match
escal,288,230,288,0,0,1,ok,583237,879,replay=match
stallcool,288,273,288,0,0,1,ok,472353,520,replay=match
queue2spread,288,213,288,0,0,1,ok,458693,26,replay=match
canonical,304,1345,304,0,0,1,ok,397751,0,replay=single
cool,304,219,304,0,0,1,ok,709109,1532,replay=match
escal,304,244,304,0,0,1,ok,606539,968,replay=match
stallcool,304,328,304,0,0,1,ok,526079,647,replay=match
queue2spread,304,228,304,0,0,1,ok,476100,27,replay=match
canonical,320,1572,320,0,0,1,ok,446167,0,replay=single
cool,320,256,320,0,0,1,ok,793784,1645,replay=match
escal,320,246,320,0,0,1,ok,696381,1055,replay=match
stallcool,320,345,320,0,0,1,ok,615106,789,replay=match
queue2spread,320,242,320,0,0,1,ok,533962,27,replay=match
canonical,336,1621,336,0,0,1,ok,493418,0,replay=single
cool,336,266,336,0,0,1,ok,871421,1731,replay=match
escal,336,266,336,0,0,1,ok,779192,1070,replay=match
stallcool,336,347,336,0,0,1,ok,681126,785,replay=match
queue2spread,336,240,336,0,0,1,ok,592970,27,replay=match
canonical,352,1621,352,0,0,1,ok,509051,0,replay=single
cool,352,243,352,0,0,1,ok,856928,1716,replay=match
escal,352,256,352,0,0,1,ok,802044,1074,replay=match
stallcool,352,344,352,0,0,1,ok,717626,835,replay=match
queue2spread,352,242,352,0,0,1,ok,610329,27,replay=match
