# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
canonical,16,130,16,0,0,1,ok,2251,0,replay=single
cool,16,115,16,0,0,1,ok,29213,438,replay=match
escal,16,116,16,0,0,1,ok,2362,5,replay=match
stallcool,16,118,16,0,0,1,ok,2251,4,replay=match
queue2spread,16,130,16,0,0,1,ok,2251,0,replay=match
canonical,32,141,32,0,0,1,ok,11221,0,replay=single
cool,32,148,32,0,0,1,ok,126225,919,replay=match
escal,32,134,32,0,0,1,ok,12416,19,replay=match
stallcool,32,134,32,0,0,1,ok,11728,13,replay=match
queue2spread,32,141,32,0,0,1,ok,11221,0,replay=match
canonical,48,395,48,0,0,1,ok,49654,0,replay=single
cool,48,186,48,0,0,1,ok,346179,1152,replay=match
escal,48,170,48,0,0,1,ok,66910,83,replay=match
stallcool,48,192,48,0,0,1,ok,58355,87,replay=match
queue2spread,48,247,48,0,0,1,ok,50076,52,replay=match
canonical,64,476,64,0,0,1,ok,105436,0,replay=single
cool,64,203,64,0,0,1,ok,702129,1354,replay=match
escal,64,182,64,0,0,1,ok,139442,100,replay=match
stallcool,64,214,64,0,0,1,ok,120576,129,replay=match
queue2spread,64,247,64,0,0,1,ok,106548,71,replay=match
canonical,80,476,80,0,0,1,ok,143000,0,replay=single
cool,80,230,80,0,0,1,ok,697255,1465,replay=match
escal,80,184,80,0,0,1,ok,182158,102,replay=match
stallcool,80,214,80,0,0,1,ok,161353,130,replay=match
queue2spread,80,195,80,0,0,1,ok,199768,0,replay=match
canonical,96,476,96,0,0,1,ok,183955,0,replay=single
cool,96,218,96,0,0,1,ok,805321,1477,replay=match
escal,96,190,96,0,0,1,ok,264057,176,replay=match
stallcool,96,214,96,0,0,1,ok,202061,139,replay=match
queue2spread,96,195,96,0,0,1,ok,255493,0,replay=match
canonical,112,476,112,0,0,1,ok,223314,0,replay=single
cool,112,215,112,0,0,1,ok,826956,1479,replay=match
escal,112,190,112,0,0,1,ok,318587,199,replay=match
stallcool,112,214,112,0,0,1,ok,241168,147,replay=match
queue2spread,112,195,112,0,0,1,ok,311555,0,replay=match
canonical,128,476,128,0,0,1,ok,240996,0,replay=single
cool,128,215,128,0,0,1,ok,813873,1471,replay=match
escal,128,190,128,0,0,1,ok,335931,199,replay=match
stallcool,128,214,128,0,0,1,ok,258585,147,replay=match
queue2spread,128,195,128,0,0,1,ok,336980,0,replay=match
canonical,144,476,144,0,0,1,ok,243263,0,replay=single
cool,144,233,144,0,0,1,ok,739783,1442,replay=match
escal,144,190,144,0,0,1,ok,338788,209,replay=match
stallcool,144,214,144,0,0,1,ok,260798,152,replay=match
queue2spread,144,195,144,0,0,1,ok,340450,0,replay=match
canonical,160,481,160,0,0,1,ok,252471,0,replay=single
cool,160,212,160,0,0,1,ok,719613,1462,replay=match
escal,160,190,160,0,0,1,ok,406631,343,replay=match
stallcool,160,189,160,0,0,1,ok,307509,178,replay=match
queue2spread,160,200,160,0,0,1,ok,353627,0,replay=match
canonical,176,706,176,0,0,1,ok,291823,0,replay=single
cool,176,214,176,0,0,1,ok,819078,1532,replay=match
escal,176,204,176,0,0,1,ok,568377,573,replay=match
stallcool,176,199,176,0,0,1,ok,433896,317,replay=match
queue2spread,176,217,176,0,0,1,ok,411622,0,replay=match
canonical,192,786,192,0,0,1,ok,348565,0,replay=single
cool,192,229,192,0,0,1,ok,941418,1586,replay=match
escal,192,209,192,0,0,1,ok,715391,650,replay=match
stallcool,192,208,192,0,0,1,ok,534044,348,replay=match
queue2spread,192,272,192,0,0,1,ok,491509,0,replay=match
canonical,208,786,208,0,0,1,ok,386879,0,replay=single
cool,208,254,208,0,0,1,ok,970657,1673,replay=match
