# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
canonical,16,1092,16,0,0,1,ok,172984,0,replay=single
cool,16,1159,16,0,0,1,ok,29155447,4429,replay=match
escal,16,1092,16,0,0,1,ok,259507,8,replay=match
stallcool,16,1092,16,0,0,1,ok,172984,0,replay=match
queue2spread,16,1092,16,0,0,1,ok,172984,0,replay=match
canonical,32,1103,32,0,0,1,ok,345622,0,replay=single
cool,32,1195,32,0,0,1,ok,59067928,8969,replay=match
escal,32,1105,32,0,0,1,ok,1458570,103,replay=match
stallcool,32,1104,32,0,0,1,ok,788667,41,replay=match
queue2spread,32,1107,32,0,0,1,ok,691244,32,replay=match
canonical,48,1119,48,0,0,1,ok,516869,0,replay=single
cool,48,1242,48,0,0,1,ok,62485358,9595,replay=match
escal,48,1120,48,0,0,1,ok,3037908,234,replay=match
stallcool,48,1119,48,0,0,1,ok,1733703,113,replay=match
queue2spread,48,1119,48,0,0,1,ok,516869,0,replay=match
canonical,64,1330,64,0,0,1,ok,688325,0,replay=single
cool,64,1313,64,0,0,1,ok,63603257,9935,replay=match
escal,64,1132,64,0,0,1,ok,3786059,310,replay=match
stallcool,64,1134,64,0,0,1,ok,2451701,181,replay=match
queue2spread,64,1188,64,0,0,1,ok,688869,52,replay=match
canonical,80,1609,80,0,0,1,ok,860279,0,replay=single
cool,80,1392,80,0,0,1,ok,65610829,10566,replay=match
escal,80,1166,80,0,0,1,ok,5556654,529,replay=match
stallcool,80,1157,80,0,0,1,ok,3858641,341,replay=match
queue2spread,80,1214,80,0,0,1,ok,864798,94,replay=match
canonical,96,1861,96,0,0,1,ok,1032759,0,replay=single
cool,96,1453,96,0,0,1,ok,69097355,11032,replay=match
escal,96,1198,96,0,0,1,ok,8050632,786,replay=match
stallcool,96,1196,96,0,0,1,ok,5109371,508,replay=match
queue2spread,96,1243,96,0,0,1,ok,1040317,148,replay=match
canonical,112,2116,112,0,0,1,ok,1205751,0,replay=single
cool,112,1470,112,0,0,1,ok,69506891,11332,replay=match
escal,112,1240,112,0,0,1,ok,7999977,952,replay=match
stallcool,112,1223,112,0,0,1,ok,5570200,617,replay=match
queue2spread,112,1313,112,0,0,1,ok,1217497,184,replay=match
canonical,128,2389,128,0,0,1,ok,1379255,0,replay=single
cool,128,1510,128,0,0,1,ok,72371063,11639,replay=match
escal,128,1263,128,0,0,1,ok,10560443,1256,replay=match
stallcool,128,1271,128,0,0,1,ok,7592035,887,replay=match
queue2spread,128,1377,128,0,0,1,ok,1404371,255,replay=match
canonical,144,2400,144,0,0,1,ok,1552207,0,replay=single
cool,144,1499,144,0,0,1,ok,71474287,11637,replay=match
escal,144,1271,144,0,0,1,ok,11016729,1183,replay=match
stallcool,144,1275,144,0,0,1,ok,7133289,863,replay=match
queue2spread,144,1377,144,0,0,1,ok,1582699,271,replay=match
canonical,160,2435,160,0,0,1,ok,1724813,0,replay=single
cool,160,1521,160,0,0,1,ok,72443661,11643,replay=match
escal,160,1299,160,0,0,1,ok,12857276,1289,replay=match
stallcool,160,1299,160,0,0,1,ok,11184047,1285,replay=match
queue2spread,160,1387,160,0,0,1,ok,1754857,279,replay=match
canonical,176,2421,176,0,0,1,ok,1896028,0,replay=single
cool,176,1504,176,0,0,1,ok,72230119,11642,replay=match
escal,176,1304,176,0,0,1,ok,14999193,1696,replay=match
stallcool,176,1347,176,0,0,1,ok,10375449,1241,replay=match
queue2spread,176,1449,176,0,0,1,ok,1936680,383,replay=match
canonical,192,2598,192,0,0,1,ok,2067452,0,replay=single
cool,192,1535,192,0,0,1,ok,72926794,11813,replay=match
escal,192,1311,192,0,0,1,ok,15468394,1792,replay=match
stallcool,192,1348,192,0,0,1,ok,14092165,1576,replay=match
queue2spread,192,1758,192,0,0,1,ok,2118132,335,replay=match
canonical,208,2856,208,0,0,1,ok,2239508,0,replay=single
cool,208,1530,208,0,0,1,ok,72972724,11769,replay=match
escal,208,1329,208,0,0,1,ok,17577862,1993,replay=match
stallcool,208,1341,208,0,0,1,ok,14783862,1728,replay=match
queue2spread,208,1773,208,0,0,1,ok,2325059,403,replay=match
canonical,224,3161,224,0,0,1,ok,2411956,0,replay=single
cool,224,1551,224,0,0,1,ok,74103239,12016,replay=match
escal,224,1349,224,0,0,1,ok,18849003,2317,replay=match
stallcool,224,1347,224,0,0,1,ok,17373013,2136,replay=match
queue2spread,224,1475,224,0,0,1,ok,2551587,579,replay=match
canonical,240,3468,240,0,0,1,ok,2584916,0,replay=single
cool,240,1587,240,0,0,1,ok,75377179,12206,replay=match
escal,240,1381,240,0,0,1,ok,20922806,2691,replay=match
stallcool,240,1354,240,0,0,1,ok,19353800,2547,replay=match
queue2spread,240,1369,240,0,0,1,ok,2799515,817,replay=match
canonical,256,3836,256,0,0,1,ok,2758388,0,replay=single
cool,256,1592,256,0,0,1,ok,76073818,12264,replay=match
escal,256,1509,256,0,0,1,ok,21861576,2772,replay=match
stallcool,256,1514,256,0,0,1,ok,20186415,2738,replay=match
queue2spread,256,1428,256,0,0,1,ok,3073449,967,replay=match
canonical,272,3915,272,0,0,1,ok,2931308,0,replay=single
cool,272,1591,272,0,0,1,ok,76135897,12280,replay=match
escal,272,1507,272,0,0,1,ok,23377856,3094,replay=match
stallcool,272,1529,272,0,0,1,ok,22447045,2994,replay=match
queue2spread,272,1428,272,0,0,1,ok,3263620,983,replay=match
canonical,288,3855,288,0,0,1,ok,3103882,0,replay=single
cool,288,1625,288,0,0,1,ok,78188200,12654,replay=match
escal,288,1497,288,0,0,1,ok,25061166,3005,replay=match
stallcool,288,1554,288,0,0,1,ok,23636371,3087,replay=match
queue2spread,288,1429,288,0,0,1,ok,3451929,823,replay=match
canonical,304,3881,304,0,0,1,ok,3275351,0,replay=single
cool,304,1651,304,0,0,1,ok,78007346,12586,replay=match
escal,304,1551,304,0,0,1,ok,26303703,3422,replay=match
stallcool,304,1537,304,0,0,1,ok,25444274,3336,replay=match
queue2spread,304,2334,304,0,0,1,ok,3757824,912,replay=match
canonical,320,4082,320,0,0,1,ok,3446743,0,replay=single
cool,320,1706,320,0,0,1,ok,78927036,12664,replay=match
escal,320,1458,320,0,0,1,ok,28492468,3752,replay=match
stallcool,320,1443,320,0,0,1,ok,26884337,3548,replay=match
queue2spread,320,2371,320,0,0,1,ok,3988650,1005,replay=match
canonical,336,4421,336,0,0,1,ok,3618649,0,replay=single
cool,336,1645,336,0,0,1,ok,79197828,12777,replay=match
escal,336,1573,336,0,0,1,ok,29777862,4151,replay=match
stallcool,336,1579,336,0,0,1,ok,28718205,3870,replay=match
queue2spread,336,3037,336,0,0,1,ok,4327640,928,replay=match
canonical,352,4792,352,0,0,1,ok,3791065,0,replay=single
cool,352,1746,352,0,0,1,ok,80867321,13047,replay=match
escal,352,1483,352,0,0,1,ok,31624087,4502,replay=match
stallcool,352,1626,352,0,0,1,ok,30137177,4311,replay=match
queue2spread,352,2818,352,0,0,1,ok,4390009,849,replay=match
canonical,368,5000,356,0,0,0,ok,3963628,0,replay=single
cool,368,1753,368,0,0,1,ok,80780845,12982,replay=match
escal,368,1604,368,0,0,1,ok,32410100,4597,replay=match
stallcool,368,1615,368,0,0,1,ok,31257249,4417,replay=match
queue2spread,368,2328,368,0,0,1,ok,4868678,1102,replay=match
canonical,384,5000,295,0,0,0,ok,4135260,0,replay=single
cool,384,1771,384,0,0,1,ok,83165245,13342,replay=match
escal,384,1626,384,0,0,1,ok,34285740,4886,replay=match
stallcool,384,1642,384,0,0,1,ok,33290703,4876,replay=match
queue2spread,384,3423,384,0,0,1,ok,4965053,913,replay=match
canonical,400,5000,294,0,0,0,ok,4308049,0,replay=single
cool,400,1807,400,0,0,1,ok,83310462,13268,replay=match
escal,400,1518,400,0,0,1,ok,36006269,4907,replay=match
stallcool,400,1615,400,0,0,1,ok,33863623,5031,replay=match
queue2spread,400,1661,400,0,0,1,ok,5345103,1494,replay=match
canonical,416,5000,314,0,0,0,ok,4481068,0,replay=single
cool,416,1831,416,0,0,1,ok,84132207,13410,replay=match
escal,416,1546,416,0,0,1,ok,37259073,5079,replay=match
stallcool,416,1645,416,0,0,1,ok,36051056,5195,replay=match
queue2spread,416,1843,416,0,0,1,ok,5530271,1457,replay=match
canonical,432,5000,333,0,0,0,ok,4652792,0,replay=single
cool,432,1849,432,0,0,1,ok,85521241,13639,replay=match
escal,432,1662,432,0,0,1,ok,39098184,5643,replay=match
stallcool,432,1667,432,0,0,1,ok,37626844,5164,replay=match
queue2spread,432,2186,432,0,0,1,ok,5795030,1466,replay=match
canonical,448,5000,319,0,0,0,ok,4822903,0,replay=single
cool,448,1883,448,0,0,1,ok,86836223,13891,replay=match
escal,448,1707,448,0,0,1,ok,41224979,5966,replay=match
stallcool,448,1689,448,0,0,1,ok,38867839,5766,replay=match
queue2spread,448,2649,448,0,0,1,ok,6633641,1640,replay=match
canonical,464,5000,310,0,0,0,ok,4994046,0,replay=single
cool,464,1835,464,0,0,1,ok,85852696,13565,replay=match
escal,464,1702,464,0,0,1,ok,42521928,6025,replay=match
stallcool,464,1699,464,0,0,1,ok,40836370,5529,replay=match
queue2spread,464,4827,464,0,0,1,ok,5945705,825,replay=match
canonical,480,5000,304,0,0,0,ok,5165567,0,replay=single
cool,480,1902,480,0,0,1,ok,88670714,14065,replay=match
escal,480,1676,480,0,0,1,ok,43609966,6184,replay=match
stallcool,480,1709,480,0,0,1,ok,42579589,6180,replay=match
queue2spread,480,2705,480,0,0,1,ok,7114517,1780,replay=match
canonical,496,5000,299,0,0,0,ok,5337402,0,replay=single
cool,496,1854,496,0,0,1,ok,89056064,14096,replay=match
escal,496,1727,496,0,0,1,ok,45651028,6378,replay=match
stallcool,496,1721,496,0,0,1,ok,43743491,6634,replay=match
queue2spread,496,1782,496,0,0,1,ok,7459328,2196,replay=match
canonical,512,5000,291,0,0,0,ok,5509488,0,replay=single
cool,512,1850,512,0,0,1,ok,90365084,14379,replay=match
escal,512,1746,512,0,0,1,ok,48819961,7382,replay=match
stallcool,512,1793,512,0,0,1,ok,46279723,7086,replay=match
queue2spread,512,2682,512,0,0,1,ok,8007554,2012,replay=match
canonical,528,5000,290,0,0,0,ok,5682331,0,replay=single
cool,528,1889,528,0,0,1,ok,90806488,14349,replay=match
escal,528,1762,528,0,0,1,ok,49880483,7346,replay=match
stallcool,528,1771,528,0,0,1,ok,48877337,6877,replay=match
queue2spread,528,2731,528,0,0,1,ok,8250272,2047,replay=match
canonical,544,5000,300,0,0,0,ok,5854755,0,replay=single
cool,544,1848,544,0,0,1,ok,91585164,14441,replay=match
escal,544,1674,544,0,0,1,ok,50313963,7180,replay=match
stallcool,544,1833,544,0,0,1,ok,49249245,7481,replay=match
queue2spread,544,2378,544,0,0,1,ok,8481550,2234,replay=match
canonical,560,5000,316,0,0,0,ok,6026095,0,replay=single
cool,560,1972,560,0,0,1,ok,91498542,14426,replay=match
escal,560,1790,560,0,0,1,ok,51773102,7482,replay=match
stallcool,560,1952,560,0,0,1,ok,50360066,7602,replay=match
queue2spread,560,2695,560,0,0,1,ok,8940955,2270,replay=match
canonical,576,5000,313,0,0,0,ok,6196416,0,replay=single
cool,576,1978,576,0,0,1,ok,93642100,14728,replay=match
escal,576,1803,576,0,0,1,ok,55708794,8029,replay=match
stallcool,576,1850,576,0,0,1,ok,52823999,8179,replay=match
queue2spread,576,2524,576,0,0,1,ok,9500904,2447,replay=match
canonical,592,5000,319,0,0,0,ok,6368606,0,replay=single
cool,592,1959,592,0,0,1,ok,92969669,14669,replay=match
escal,592,1813,592,0,0,1,ok,57177091,8555,replay=match
stallcool,592,1853,592,0,0,1,ok,54324716,8183,replay=match
queue2spread,592,3336,592,0,0,1,ok,10174638,2405,replay=match
canonical,608,5000,313,0,0,0,ok,6539626,0,replay=single
cool,608,2076,608,0,0,1,ok,96281941,15230,replay=match
escal,608,1928,608,0,0,1,ok,58287893,8302,replay=match
stallcool,608,1853,608,0,0,1,ok,55899644,8388,replay=match
queue2spread,608,5000,356,0,0,0,ok,7933961,593,replay=match
canonical,624,5000,310,0,0,0,ok,6711326,0,replay=single
cool,624,2051,624,0,0,1,ok,95414505,15050,replay=match
escal,624,1867,624,0,0,1,ok,60227501,8381,replay=match
stallcool,624,1897,624,0,0,1,ok,58728866,8917,replay=match
queue2spread,624,3503,624,0,0,1,ok,10786331,2244,replay=match
canonical,640,5000,311,0,0,0,ok,6883585,0,replay=single
cool,640,2051,640,0,0,1,ok,97449955,15448,replay=match
escal,640,1903,640,0,0,1,ok,62043655,9067,replay=match
stallcool,640,1908,640,0,0,1,ok,60403603,9011,replay=match
queue2spread,640,5000,578,0,0,0,ok,9511201,1878,replay=match
canonical,656,5000,307,0,0,0,ok,7056187,0,replay=single
cool,656,2121,656,0,0,1,ok,98546110,15557,replay=match
escal,656,1868,656,0,0,1,ok,63439137,8960,replay=match
stallcool,656,2006,656,0,0,1,ok,63170037,9764,replay=match
queue2spread,656,5000,347,0,0,0,ok,8649544,625,replay=match
canonical,672,5000,317,0,0,0,ok,7228522,0,replay=single
cool,672,2126,672,0,0,1,ok,99598546,15627,replay=match
escal,672,1888,672,0,0,1,ok,66226511,9496,replay=match
stallcool,672,1808,672,0,0,1,ok,64184015,9371,replay=match
queue2spread,672,5000,384,0,0,0,ok,10765768,1337,replay=match
canonical,688,5000,330,0,0,0,ok,7399682,0,replay=single
cool,688,2122,688,0,0,1,ok,99761660,15774,replay=match
escal,688,1907,688,0,0,1,ok,68751693,9747,replay=match
stallcool,688,1995,688,0,0,1,ok,65513948,9687,replay=match
queue2spread,688,5000,430,0,0,0,ok,11075768,1420,replay=match
canonical,704,5000,341,0,0,0,ok,7571075,0,replay=single
cool,704,2152,704,0,0,1,ok,100988405,15887,replay=match
escal,704,1951,704,0,0,1,ok,70564159,10021,replay=match
stallcool,704,1968,704,0,0,1,ok,66923200,10040,replay=match
