# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
canonical,16,110,16,0,0,1,ok,1760,0,replay=single
cool,16,110,16,0,0,1,ok,25088,432,replay=match
escal,16,110,16,0,0,1,ok,1760,0,replay=match
stallcool,16,110,16,0,0,1,ok,1760,0,replay=match
queue2spread,16,110,16,0,0,1,ok,1760,0,replay=match
canonical,32,112,32,0,0,1,ok,3520,0,replay=single
cool,32,112,32,0,0,1,ok,50176,864,replay=match
escal,32,112,32,0,0,1,ok,3520,0,replay=match
stallcool,32,112,32,0,0,1,ok,3520,0,replay=match
queue2spread,32,112,32,0,0,1,ok,3520,0,replay=match
canonical,48,114,48,0,0,1,ok,5280,0,replay=single
cool,48,114,48,0,0,1,ok,50688,880,replay=match
escal,48,114,48,0,0,1,ok,5280,0,replay=match
stallcool,48,114,48,0,0,1,ok,5280,0,replay=match
queue2spread,48,114,48,0,0,1,ok,5280,0,replay=match
canonical,64,116,64,0,0,1,ok,7040,0,replay=single
cool,64,116,64,0,0,1,ok,52032,896,replay=match
escal,64,116,64,0,0,1,ok,7040,0,replay=match
stallcool,64,116,64,0,0,1,ok,7040,0,replay=match
queue2spread,64,116,64,0,0,1,ok,7040,0,replay=match
canonical,80,118,80,0,0,1,ok,8800,0,replay=single
cool,80,118,80,0,0,1,ok,52554,897,replay=match
escal,80,118,80,0,0,1,ok,8908,1,replay=match
stallcool,80,118,80,0,0,1,ok,8908,1,replay=match
queue2spread,80,118,80,0,0,1,ok,8800,0,replay=match
canonical,96,120,96,0,0,1,ok,10560,0,replay=single
cool,96,120,96,0,0,1,ok,53770,865,replay=match
escal,96,120,96,0,0,1,ok,10666,1,replay=match
stallcool,96,120,96,0,0,1,ok,10666,1,replay=match
queue2spread,96,120,96,0,0,1,ok,10560,0,replay=match
canonical,112,122,112,0,0,1,ok,12320,0,replay=single
cool,112,122,112,0,0,1,ok,54630,944,replay=match
escal,112,122,112,0,0,1,ok,12424,1,replay=match
stallcool,112,122,112,0,0,1,ok,12424,1,replay=match
queue2spread,112,122,112,0,0,1,ok,12320,0,replay=match
canonical,128,124,128,0,0,1,ok,14080,0,replay=single
cool,128,124,128,0,0,1,ok,55752,897,replay=match
escal,128,124,128,0,0,1,ok,14182,1,replay=match
stallcool,128,124,128,0,0,1,ok,14182,1,replay=match
queue2spread,128,124,128,0,0,1,ok,14080,0,replay=match
canonical,144,126,144,0,0,1,ok,15840,0,replay=single
cool,144,126,144,0,0,1,ok,62025,928,replay=match
escal,144,126,144,0,0,1,ok,15940,1,replay=match
stallcool,144,126,144,0,0,1,ok,15940,1,replay=match
queue2spread,144,126,144,0,0,1,ok,15840,0,replay=match
canonical,160,128,160,0,0,1,ok,17600,0,replay=single
cool,160,128,160,0,0,1,ok,68824,960,replay=match
escal,160,128,160,0,0,1,ok,17698,1,replay=match
stallcool,160,128,160,0,0,1,ok,17698,1,replay=match
queue2spread,160,128,160,0,0,1,ok,17600,0,replay=match
canonical,176,130,176,0,0,1,ok,19360,0,replay=single
cool,176,130,176,0,0,1,ok,72627,929,replay=match
escal,176,130,176,0,0,1,ok,19456,1,replay=match
stallcool,176,130,176,0,0,1,ok,19456,1,replay=match
queue2spread,176,130,176,0,0,1,ok,19360,0,replay=match
canonical,192,132,192,0,0,1,ok,21120,0,replay=single
cool,192,140,192,0,0,1,ok,78155,964,replay=match
escal,192,132,192,0,0,1,ok,21214,1,replay=match
stallcool,192,132,192,0,0,1,ok,21214,1,replay=match
queue2spread,192,132,192,0,0,1,ok,21120,0,replay=match
canonical,208,134,208,0,0,1,ok,22880,0,replay=single
cool,208,140,208,0,0,1,ok,83123,1044,replay=match
escal,208,134,208,0,0,1,ok,23112,2,replay=match
stallcool,208,134,208,0,0,1,ok,22908,0,replay=match
queue2spread,208,134,208,0,0,1,ok,22880,0,replay=match
canonical,224,136,224,0,0,1,ok,24640,0,replay=single
cool,224,140,224,0,0,1,ok,88167,900,replay=match
escal,224,136,224,0,0,1,ok,24868,2,replay=match
stallcool,224,136,224,0,0,1,ok,24668,0,replay=match
queue2spread,224,136,224,0,0,1,ok,24640,0,replay=match
canonical,240,138,240,0,0,1,ok,26400,0,replay=single
cool,240,140,240,0,0,1,ok,94424,963,replay=match
escal,240,138,240,0,0,1,ok,26624,2,replay=match
stallcool,240,138,240,0,0,1,ok,26428,0,replay=match
queue2spread,240,138,240,0,0,1,ok,26400,0,replay=match
canonical,256,140,256,0,0,1,ok,28160,0,replay=single
cool,256,140,256,0,0,1,ok,90602,1027,replay=match
escal,256,140,256,0,0,1,ok,28380,2,replay=match
stallcool,256,140,256,0,0,1,ok,28188,0,replay=match
queue2spread,256,140,256,0,0,1,ok,28160,0,replay=match
canonical,272,142,272,0,0,1,ok,29920,0,replay=single
cool,272,142,272,0,0,1,ok,103336,1088,replay=match
escal,272,142,272,0,0,1,ok,30136,2,replay=match
stallcool,272,142,272,0,0,1,ok,29948,0,replay=match
