Running tess_bench
Run on (16 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x16)
Load Average: 5.66, 5.26, 4.68
---------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                       Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------------------------------------------------------
path/astar_batch_100_shared_room_portals_512x512_mean                    18318400 ns     18229412 ns           10 agents=100 batch.avg_expanded_nodes=8.6961k batch.cost_total=100.81k batch.expanded_total=869.61k batch.unique_goal_chunks=1 batch.unique_goals=1 batch.unique_start_chunks=1 batch.unique_starts=100
path/astar_batch_100_shared_room_portals_512x512_median                  18282454 ns     18226572 ns           10 agents=100 batch.avg_expanded_nodes=8.6961k batch.cost_total=100.81k batch.expanded_total=869.61k batch.unique_goal_chunks=1 batch.unique_goals=1 batch.unique_start_chunks=1 batch.unique_starts=100
path/astar_batch_100_shared_room_portals_512x512_stddev                    134520 ns        51801 ns           10 agents=0 batch.avg_expanded_nodes=0 batch.cost_total=0 batch.expanded_total=0 batch.unique_goal_chunks=0 batch.unique_goals=0 batch.unique_start_chunks=0 batch.unique_starts=0
path/astar_batch_100_shared_room_portals_512x512_cv                          0.73 %          0.28 %            10 agents=0.00% batch.avg_expanded_nodes=0.00% batch.cost_total=0.00% batch.expanded_total=0.00% batch.unique_goal_chunks=0.00% batch.unique_goals=0.00% batch.unique_start_chunks=0.00% batch.unique_starts=0.00%
path/distance_field_batch_100_shared_room_portals_512x512_mean            2913888 ns      2903568 ns           10 agents=100 batch.avg_expanded_nodes=1.0091k batch.cost_total=100.81k batch.expanded_total=100.91k batch.unique_goal_chunks=1 batch.unique_goals=1 batch.unique_start_chunks=1 batch.unique_starts=100 field_expanded_nodes=247.475k field_reached_nodes=247.475k
path/distance_field_batch_100_shared_room_portals_512x512_median          2905098 ns      2898914 ns           10 agents=100 batch.avg_expanded_nodes=1.0091k batch.cost_total=100.81k batch.expanded_total=100.91k batch.unique_goal_chunks=1 batch.unique_goals=1 batch.unique_start_chunks=1 batch.unique_starts=100 field_expanded_nodes=247.475k field_reached_nodes=247.475k
path/distance_field_batch_100_shared_room_portals_512x512_stddev            23419 ns        15534 ns           10 agents=0 batch.avg_expanded_nodes=0 batch.cost_total=0 batch.expanded_total=0 batch.unique_goal_chunks=0 batch.unique_goals=0 batch.unique_start_chunks=0 batch.unique_starts=0 field_expanded_nodes=0 field_reached_nodes=0
path/distance_field_batch_100_shared_room_portals_512x512_cv                 0.80 %          0.53 %            10 agents=0.00% batch.avg_expanded_nodes=0.00% batch.cost_total=0.00% batch.expanded_total=0.00% batch.unique_goal_chunks=0.00% batch.unique_goals=0.00% batch.unique_start_chunks=0.00% batch.unique_starts=0.00% field_expanded_nodes=0.00% field_reached_nodes=0.00%
path/astar_batch_100_mixed_repeated_room_portals_512x512_mean            50508678 ns     50345225 ns           10 agents=100 batch.avg_expanded_nodes=24.3617k batch.cost_total=59.944k batch.expanded_total=2.43617M batch.unique_goal_chunks=3 batch.unique_goals=21 batch.unique_start_chunks=3 batch.unique_starts=30
path/astar_batch_100_mixed_repeated_room_portals_512x512_median          50617035 ns     50443679 ns           10 agents=100 batch.avg_expanded_nodes=24.3617k batch.cost_total=59.944k batch.expanded_total=2.43617M batch.unique_goal_chunks=3 batch.unique_goals=21 batch.unique_start_chunks=3 batch.unique_starts=30
path/astar_batch_100_mixed_repeated_room_portals_512x512_stddev            285333 ns       211758 ns           10 agents=0 batch.avg_expanded_nodes=363.943u batch.cost_total=0 batch.expanded_total=0 batch.unique_goal_chunks=0 batch.unique_goals=0 batch.unique_start_chunks=0 batch.unique_starts=0
path/astar_batch_100_mixed_repeated_room_portals_512x512_cv                  0.56 %          0.42 %            10 agents=0.00% batch.avg_expanded_nodes=0.00% batch.cost_total=0.00% batch.expanded_total=0.00% batch.unique_goal_chunks=0.00% batch.unique_goals=0.00% batch.unique_start_chunks=0.00% batch.unique_starts=0.00%
path/cached_astar_batch_100_mixed_repeated_room_portals_512x512_mean     15265353 ns     15215572 ns           10 agents=100 batch.avg_expanded_nodes=7.33662k batch.cost_total=59.944k batch.expanded_total=733.662k batch.unique_goal_chunks=3 batch.unique_goals=21 batch.unique_start_chunks=3 batch.unique_starts=30 cache.entries=30 cache.hits=70 cache.misses=30 cache.path_nodes=18.109k cache.suffix_hits=0
path/cached_astar_batch_100_mixed_repeated_room_portals_512x512_median   15248556 ns     15197505 ns           10 agents=100 batch.avg_expanded_nodes=7.33662k batch.cost_total=59.944k batch.expanded_total=733.662k batch.unique_goal_chunks=3 batch.unique_goals=21 batch.unique_start_chunks=3 batch.unique_starts=30 cache.entries=30 cache.hits=70 cache.misses=30 cache.path_nodes=18.109k cache.suffix_hits=0
path/cached_astar_batch_100_mixed_repeated_room_portals_512x512_stddev     124405 ns       105174 ns           10 agents=0 batch.avg_expanded_nodes=0 batch.cost_total=0 batch.expanded_total=0 batch.unique_goal_chunks=0 batch.unique_goals=0 batch.unique_start_chunks=0 batch.unique_starts=0 cache.entries=0 cache.hits=0 cache.misses=0 cache.path_nodes=0 cache.suffix_hits=0
path/cached_astar_batch_100_mixed_repeated_room_portals_512x512_cv           0.81 %          0.69 %            10 agents=0.00% batch.avg_expanded_nodes=0.00% batch.cost_total=0.00% batch.expanded_total=0.00% batch.unique_goal_chunks=0.00% batch.unique_goals=0.00% batch.unique_start_chunks=0.00% batch.unique_starts=0.00% cache.entries=0.00% cache.hits=0.00% cache.misses=0.00% cache.path_nodes=0.00% cache.suffix_hits=0.00%
path/astar_batch_100_suffix_open_512x512_mean                              112570 ns       112128 ns           10 agents=100 batch.avg_expanded_nodes=462.5 batch.cost_total=46.15k batch.expanded_total=46.25k batch.unique_goal_chunks=1 batch.unique_goals=1 batch.unique_start_chunks=4 batch.unique_starts=100
path/astar_batch_100_suffix_open_512x512_median                            112522 ns       111817 ns           10 agents=100 batch.avg_expanded_nodes=462.5 batch.cost_total=46.15k batch.expanded_total=46.25k batch.unique_goal_chunks=1 batch.unique_goals=1 batch.unique_start_chunks=4 batch.unique_starts=100
path/astar_batch_100_suffix_open_512x512_stddev                               855 ns          888 ns           10 agents=0 batch.avg_expanded_nodes=0 batch.cost_total=0 batch.expanded_total=0 batch.unique_goal_chunks=0 batch.unique_goals=0 batch.unique_start_chunks=0 batch.unique_starts=0
path/astar_batch_100_suffix_open_512x512_cv                                  0.76 %          0.79 %            10 agents=0.00% batch.avg_expanded_nodes=0.00% batch.cost_total=0.00% batch.expanded_total=0.00% batch.unique_goal_chunks=0.00% batch.unique_goals=0.00% batch.unique_start_chunks=0.00% batch.unique_starts=0.00%
path/cached_astar_batch_100_suffix_open_512x512_mean                        17846 ns        17785 ns           10 agents=100 batch.avg_expanded_nodes=5.12 batch.cost_total=46.15k batch.expanded_total=512 batch.unique_goal_chunks=1 batch.unique_goals=1 batch.unique_start_chunks=4 batch.unique_starts=100 cache.entries=1 cache.hits=0 cache.misses=1 cache.path_nodes=512 cache.suffix_hits=99
path/cached_astar_batch_100_suffix_open_512x512_median                      17840 ns        17787 ns           10 agents=100 batch.avg_expanded_nodes=5.12 batch.cost_total=46.15k batch.expanded_total=512 batch.unique_goal_chunks=1 batch.unique_goals=1 batch.unique_start_chunks=4 batch.unique_starts=100 cache.entries=1 cache.hits=0 cache.misses=1 cache.path_nodes=512 cache.suffix_hits=99
path/cached_astar_batch_100_suffix_open_512x512_stddev                       84.6 ns         59.4 ns           10 agents=0 batch.avg_expanded_nodes=88.8534n batch.cost_total=0 batch.expanded_total=0 batch.unique_goal_chunks=0 batch.unique_goals=0 batch.unique_start_chunks=0 batch.unique_starts=0 cache.entries=0 cache.hits=0 cache.misses=0 cache.path_nodes=0 cache.suffix_hits=0
path/cached_astar_batch_100_suffix_open_512x512_cv                           0.47 %          0.33 %            10 agents=0.00% batch.avg_expanded_nodes=0.00% batch.cost_total=0.00% batch.expanded_total=0.00% batch.unique_goal_chunks=0.00% batch.unique_goals=0.00% batch.unique_start_chunks=0.00% batch.unique_starts=0.00% cache.entries=0.00% cache.hits=0.00% cache.misses=0.00% cache.path_nodes=0.00% cache.suffix_hits=0.00%
path/weighted_astar_batch_100_multigoal_sparse_512x512_mean             468882351 ns    467074600 ns           10 agents=100 batch.avg_expanded_nodes=46.7628k batch.cost_total=96.02k batch.expanded_total=4.67628M batch.unique_goals=8
path/weighted_astar_batch_100_multigoal_sparse_512x512_median           467983195 ns    466717500 ns           10 agents=100 batch.avg_expanded_nodes=46.7628k batch.cost_total=96.02k batch.expanded_total=4.67628M batch.unique_goals=8
path/weighted_astar_batch_100_multigoal_sparse_512x512_stddev             2289725 ns       664361 ns           10 agents=0 batch.avg_expanded_nodes=0 batch.cost_total=0 batch.expanded_total=0 batch.unique_goals=0
path/weighted_astar_batch_100_multigoal_sparse_512x512_cv                    0.49 %          0.14 %            10 agents=0.00% batch.avg_expanded_nodes=0.00% batch.cost_total=0.00% batch.expanded_total=0.00% batch.unique_goals=0.00%
path/weighted_batch_planner_100_multigoal_sparse_512x512_mean            45046049 ns     44875745 ns           10 agents=100 batch.astar_fallbacks=0 batch.avg_expanded_nodes=961.2 batch.cost_total=96.02k batch.expanded_total=96.12k batch.field_builds=8 batch.path_nodes=96.12k batch.unique_goals=8
path/weighted_batch_planner_100_multigoal_sparse_512x512_median          44795941 ns     44678194 ns           10 agents=100 batch.astar_fallbacks=0 batch.avg_expanded_nodes=961.2 batch.cost_total=96.02k batch.expanded_total=96.12k batch.field_builds=8 batch.path_nodes=96.12k batch.unique_goals=8
path/weighted_batch_planner_100_multigoal_sparse_512x512_stddev            492056 ns       446460 ns           10 agents=0 batch.astar_fallbacks=0 batch.avg_expanded_nodes=16.0842u batch.cost_total=0 batch.expanded_total=0 batch.field_builds=0 batch.path_nodes=0 batch.unique_goals=0
path/weighted_batch_planner_100_multigoal_sparse_512x512_cv                  1.09 %          0.99 %            10 agents=0.00% batch.astar_fallbacks=0.00% batch.avg_expanded_nodes=0.00% batch.cost_total=0.00% batch.expanded_total=0.00% batch.field_builds=0.00% batch.path_nodes=0.00% batch.unique_goals=0.00%
