Running tess_bench
Run on (8 X 3102.33 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 512 KiB (x4)
  L3 Unified 4096 KiB (x1)
Load Average: 0.16, 0.10, 0.04
---------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                       Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------------------------------------------------------
path/astar_batch_100_shared_room_portals_512x512_mean                    68983668 ns     68717178 ns           10 agents=100 batch.avg_expanded_nodes=8.6961k batch.cost_total=100.81k batch.expanded_total=869.61k batch.unique_goal_chunks=1 batch.unique_goals=1 batch.unique_start_chunks=1 batch.unique_starts=100
path/astar_batch_100_shared_room_portals_512x512_median                  68961185 ns     68695610 ns           10 agents=100 batch.avg_expanded_nodes=8.6961k batch.cost_total=100.81k batch.expanded_total=869.61k batch.unique_goal_chunks=1 batch.unique_goals=1 batch.unique_start_chunks=1 batch.unique_starts=100
path/astar_batch_100_shared_room_portals_512x512_stddev                     75271 ns        65961 ns           10 agents=0 batch.avg_expanded_nodes=0 batch.cost_total=0 batch.expanded_total=0 batch.unique_goal_chunks=0 batch.unique_goals=0 batch.unique_start_chunks=0 batch.unique_starts=0
path/astar_batch_100_shared_room_portals_512x512_cv                          0.11 %          0.10 %            10 agents=0.00% batch.avg_expanded_nodes=0.00% batch.cost_total=0.00% batch.expanded_total=0.00% batch.unique_goal_chunks=0.00% batch.unique_goals=0.00% batch.unique_start_chunks=0.00% batch.unique_starts=0.00%
path/distance_field_batch_100_shared_room_portals_512x512_mean            5526873 ns      5503563 ns           10 agents=100 batch.avg_expanded_nodes=1.0091k batch.cost_total=100.81k batch.expanded_total=100.91k batch.unique_goal_chunks=1 batch.unique_goals=1 batch.unique_start_chunks=1 batch.unique_starts=100 field_expanded_nodes=247.475k field_reached_nodes=247.475k
path/distance_field_batch_100_shared_room_portals_512x512_median          5518229 ns      5494975 ns           10 agents=100 batch.avg_expanded_nodes=1.0091k batch.cost_total=100.81k batch.expanded_total=100.91k batch.unique_goal_chunks=1 batch.unique_goals=1 batch.unique_start_chunks=1 batch.unique_starts=100 field_expanded_nodes=247.475k field_reached_nodes=247.475k
path/distance_field_batch_100_shared_room_portals_512x512_stddev            23917 ns        23270 ns           10 agents=0 batch.avg_expanded_nodes=0 batch.cost_total=0 batch.expanded_total=0 batch.unique_goal_chunks=0 batch.unique_goals=0 batch.unique_start_chunks=0 batch.unique_starts=0 field_expanded_nodes=0 field_reached_nodes=0
path/distance_field_batch_100_shared_room_portals_512x512_cv                 0.43 %          0.42 %            10 agents=0.00% batch.avg_expanded_nodes=0.00% batch.cost_total=0.00% batch.expanded_total=0.00% batch.unique_goal_chunks=0.00% batch.unique_goals=0.00% batch.unique_start_chunks=0.00% batch.unique_starts=0.00% field_expanded_nodes=0.00% field_reached_nodes=0.00%
path/astar_batch_100_mixed_repeated_room_portals_512x512_mean           192024259 ns    191275852 ns           10 agents=100 batch.avg_expanded_nodes=24.3617k batch.cost_total=59.944k batch.expanded_total=2.43617M batch.unique_goal_chunks=3 batch.unique_goals=21 batch.unique_start_chunks=3 batch.unique_starts=30
path/astar_batch_100_mixed_repeated_room_portals_512x512_median         191923559 ns    191172027 ns           10 agents=100 batch.avg_expanded_nodes=24.3617k batch.cost_total=59.944k batch.expanded_total=2.43617M batch.unique_goal_chunks=3 batch.unique_goals=21 batch.unique_start_chunks=3 batch.unique_starts=30
path/astar_batch_100_mixed_repeated_room_portals_512x512_stddev            390530 ns       366341 ns           10 agents=0 batch.avg_expanded_nodes=363.943u batch.cost_total=0 batch.expanded_total=0 batch.unique_goal_chunks=0 batch.unique_goals=0 batch.unique_start_chunks=0 batch.unique_starts=0
